"id","expected"
"0","0.75"
"1","0.32000000000000006"
"2","0.63"
"3","0.38999999999999996"
"4","0.31"
"5","0.7600000000000001"
"6","0.07"
"7","0.6900000000000001"
"8","0.42"
"9","0.54"
"10","0.76"
"11","0.66"
"12","0.6100000000000001"
"13","0.27"
"14","0.2"
"15","0.04"
"16","0.23"
"17","0.54"
"18","0.6"
"19","0.89"
"20","0.81"
"21","0.97"
"22","0.19"
"23","0.29"
"24","0.56"
"25","0.63"
"26","0.18000000000000002"
"27","0.8300000000000001"
"28","0.98"
"29","0.11"
"30","0.16"
"31","0.01"
"32","0.25"
"33","0.30000000000000004"
"34","0.5"
"35","0.21"
"36","0.6900000000000001"
"37","0.8200000000000001"
"38","0.08"
"39","0.11"
"40","0.93"
"41","0.9"
"42","0.9700000000000001"
"43","0.5900000000000001"
"44","0.9600000000000001"
"45","0.85"
"46","0.23"
"47","0.6"
"48","0.89"
"49","0.8400000000000001"
"50","0.7"
"51","0.46"
"52","0.05"
"53","0.9299999999999999"
"54","0.29000000000000004"
"55","0.29"
"56","0.9500000000000001"
"57","0.53"
"58","0.23"
"59","0.08"
"60","0.45000000000000007"
"61","0.28"
"62","0.17"
"63","0.060000000000000005"
"64","0.39"
"65","0.37"
"66","0.66"
"67","0.9199999999999999"
"68","0.6699999999999999"
"69","0.8900000000000001"
"70","0.41000000000000003"
"71","0.75"
"72","0.42000000000000004"
"73","0.12000000000000001"
"74","0.95"
"75","0.27"
"76","0.33"
"77","0.17000000000000004"
"78","0.32000000000000006"
"79","0.85"
"80","0.46"
"81","0.7100000000000001"
"82","0.08"
"83","0.16"
"84","0.96"
"85","0.6000000000000001"
"86","0.35"
"87","0.76"
"88","0.58"
"89","0.32000000000000006"
"90","0.27"
"91","0.09999999999999999"
"92","0.9"
"93","0.2"
"94","0.97"
"95","0.79"
"96","0.28"
"97","0.96"
"98","0.07"
"99","0.5700000000000001"
"100","0.99"
"101","0.5000000000000001"
"102","0.28"
"103","0.45999999999999996"
"104","0.94"
"105","0.7900000000000001"
"106","0.5800000000000001"
"107","0.74"
"108","0.9199999999999999"
"109","0.1"
"110","0.14"
"111","0.68"
"112","0.54"
"113","0.3400000000000001"
"114","0.91"
"115","0.86"
"116","0.25999999999999995"
"117","0.44000000000000006"
"118","0.81"
"119","0.84"
"120","0.1"
"121","0.52"
"122","0.9299999999999999"
"123","0.21000000000000002"
"124","0.98"
"125","0.03"
"126","0.45"
"127","0.17"
"128","0.47"
"129","0.7799999999999999"
"130","0.16999999999999998"
"131","0.65"
"132","0.8899999999999999"
"133","0.09"
"134","0.6100000000000001"
"135","0.18000000000000002"
"136","0.3"
"137","0.96"
"138","0.22"
"139","0.13"
"140","0.4600000000000001"
"141","0.22"
"142","0.28"
"143","0.09"
"144","0.9"
"145","0.55"
"146","0.8300000000000001"
"147","0.4"
"148","0.24000000000000002"
"149","0.96"
